length LML
1.34629120178 -149.721910594
2.87052601047 -159.339876602
6.12045860945 -192.272143248
13.0498777762 -217.62532323
27.8245995669 -208.335878026
59.3268653036 -189.569381971
126.495151828 -179.792620357
269.709571776 -172.133428854
575.067518848 -166.740835055
1226.14354788 -163.038339312
