82.0,4.5
281.5,3.5
233.0,7.0
238.0,5.5
308.0,5.5
270.0,7.0
19.0,7.0
34.5,7.5
179.0,8.5
333.5,8.5
223.0,12.0
327.0,11.0
115.5,14.0
185.5,11.5
287.0,10.5
162.5,11.0
245.5,12.5
257.0,12.0
238.0,16.0
214.0,14.5
386.0,15.0
42.0,17.5
84.0,19.0
31.0,20.0
181.0,19.0
282.0,20.5
291.5,18.0
273.5,20.0
302.0,22.5
228.5,17.0
260.5,18.5
63.5,21.0
74.0,24.0
164.0,23.0
287.0,25.0
314.5,23.0
146.5,26.0
195.0,28.0
225.0,26.0
254.5,25.5
249.5,27.5
137.0,29.5
202.5,28.5
322.0,29.0
372.5,30.5
151.5,30.0
262.0,30.0
272.5,30.0
294.5,32.0
188.0,31.0
69.0,34.0
217.0,32.0
97.0,33.0
286.0,36.0
393.0,36.0
242.5,38.5
174.0,38.0
331.5,37.5
254.5,39.0
269.0,40.0
355.0,40.5
207.5,43.0
22.0,43.0
339.5,42.0
11.5,44.0
194.5,45.5
80.0,45.5
150.5,47.0
92.0,48.0
159.0,49.0
248.5,51.0
274.5,48.5
263.0,51.0
361.0,49.5
235.5,50.5
336.5,50.5
9.0,55.0
221.0,53.5
349.0,51.0
174.0,56.5
208.5,54.0
231.5,56.5
282.5,55.0
327.0,56.0
365.5,55.5
164.0,59.0
248.5,58.0
70.0,63.5
190.5,58.5
270.5,61.0
10.5,63.5
199.5,60.5
94.0,58.0
178.0,62.0
263.0,62.5
338.5,64.0
347.0,64.5
207.5,66.0
215.0,64.0
224.0,62.5
234.5,64.5
294.0,61.0
327.0,66.0
356.0,60.0
279.5,63.0
305.5,63.0
373.5,70.5
296.0,65.5
27.0,69.5
152.0,68.0
162.5,68.5
220.5,72.0
242.5,69.0
122.0,69.0
190.5,70.0
201.0,70.0
253.5,68.5
231.5,72.0
299.5,72.5
312.0,73.5
352.5,70.0
277.0,75.0
288.5,74.0
99.5,72.5
333.0,72.5
381.5,75.0
392.0,74.0
257.5,78.5
364.0,74.5
56.5,77.5
71.0,74.5
178.5,78.0
345.0,77.0
354.5,77.5
120.5,79.0
155.0,77.5
240.5,78.5
111.0,78.0
301.0,81.0
329.5,80.5
47.0,83.0
141.0,81.5
292.5,82.0
319.5,79.0
195.0,82.5
230.5,82.5
372.0,82.5
201.5,83.5
307.5,84.5
179.5,87.5
353.5,88.5
378.0,87.5
213.0,85.5
238.0,88.5
341.0,88.0
77.0,87.5
93.5,91.0
107.5,89.5
248.0,89.5
391.5,88.0
170.0,86.5
327.5,92.0
316.0,94.0
28.5,92.5
225.0,94.0
195.0,94.5
235.5,96.5
305.5,95.0
204.5,95.0
357.5,96.0
371.0,97.0
12.0,98.0
103.5,98.0
172.5,98.5
248.5,98.5
386.0,100.0
211.5,99.5
29.0,101.5
323.0,100.0
348.0,102.0
222.5,100.5
163.0,101.0
242.0,101.0
335.5,102.5
372.5,105.5
54.0,106.0
200.0,107.0
58.5,109.5
224.0,109.0
252.0,106.5
362.5,108.5
166.5,109.0
323.5,109.0
233.5,108.5
8.5,112.0
211.5,110.5
244.5,114.5
316.5,109.0
20.0,113.5
388.5,112.0
50.0,112.0
122.5,116.5
67.0,113.5
155.5,115.5
175.5,111.5
260.0,116.5
341.0,115.0
392.5,117.0
