CD20 CD3 CD44 CD68 CarbonicAnhydraseIX CleavedCaspase3 Creb Cytokeratin7 Cytokeratin8-18 E-cadherin ERa EpCAM Erk12 Fibronectin GATA3 Her2 HistoneH3 Ki-67 PRAB S6 SMA Slug Twist Vimentin b-catenin c-Myc
-0.58738780818 -0.573602347192 -0.577808307373 -0.616003586001 -0.596256595938 -2.48543303409 0.667104244627 -0.354033406368 -2.63620840709 -3.29034719035 -0.275383818102 -0.624825704723 -0.950147111849 1.77251547389 0.181613181917 -1.65762019809 -1.09581005998 -0.56901295246 -0.80085210158 -0.915234495341 -2.60694091649 -0.636727147167 -0.579553448886 0.28321015295 -1.70218238644 -1.38428788114
-0.574271779004 -0.56298806814 -0.566430741449 -0.597694438818 -0.581531081893 -2.34728439432 0.500506439863 -0.869276013224 -2.46085504991 -3.14844795934 -1.12391604635 -0.604915542048 -0.69271325958 2.34087407222 0.233658077135 -1.27179594361 -1.04904064738 -0.559231545 -0.748997119615 -0.842621689755 -1.24380979837 -0.614657141224 -1.37288575223 0.138332295759 -1.70617606648 -1.0480672749
-0.590147357847 -0.575835540625 -0.580202092706 -0.619855742804 -0.599354773506 -2.61677739159 0.393294624925 -1.22825524652 -2.50369534606 -3.31736775254 -0.303782866165 -0.629014707511 -1.98782172798 1.85986171069 0.170663185437 -1.7387957718 -1.19124337506 -0.571070913703 -0.811762141222 -0.930511881571 -2.68681100816 -0.641370570626 -0.619566296552 0.313691759639 -1.8036206812 -1.45502708503
-0.591914044377 -0.577265249538 -0.581734613882 -0.622321925462 -0.60133825242 -2.375168182 0.228244561218 -0.456380843006 -3.53160945932 -3.60427175886 -0.321964171706 -0.631696541756 -2.02249723174 1.91578149418 0.163652907092 -1.79076504574 -0.800305963766 -0.572388437518 0.164764928736 -0.940292590639 -2.73794450168 -0.644343328743 -0.645182852692 0.333206336443 -2.35468815385 -1.50031490866
-0.581925456593 -0.569181884012 -0.573069962829 -0.608378488661 -0.590123952137 -2.71157113905 0.15679372983 -2.02585304917 -2.08259580962 -2.91149679668 -1.2026814914 -0.616533842359 -1.82644699446 1.59961919996 0.203287997686 -1.496938356 -1.42424115418 -0.564939350164 -0.77925637781 -0.884993889092 -2.4488431924 -0.627535788229 -0.500350583097 0.222873767403 -1.50139178756 -1.24426416378
-0.554735827925 -0.54717840246 -0.54948418176 -0.570423486695 -0.559597849042 -2.40095714765 0.351810587423 -1.41104006191 -4.45451388529 -3.26313749095 -0.922867875273 -0.575259923049 -1.29278465229 3.40558130513 0.311177463021 -1.68063349693 -1.35384747079 -0.544662417783 -0.6717606041 -0.734466988456 -0.678377611436 -0.581784497328 -1.08961886859 1.39217846744 -1.97156574795 -1.53078804641
-0.548942188164 -0.542489840982 -0.544458459612 -0.562335932019 -0.553093264269 -2.12520132386 0.487566537631 -1.28003404445 -3.87847842762 -2.86131006023 -0.863244431657 -0.566465164471 -1.1790704342 1.53913295279 0.334166842674 -1.51020640262 -0.625682099262 -0.540341754081 -0.648855113325 -0.702392308542 -1.49420312785 -0.572035688277 -1.00561239902 -0.141454886423 -1.75859732609 -1.38227197906
-0.591323843552 -0.576787623561 -0.581222641188 -0.621498042439 -0.60067562729 -2.6727737597 0.665047466438 -2.23836975664 -4.41604306855 -4.33112198968 -1.29940207089 -0.630800615537 -1.02740134291 2.88061201767 0.165994846079 -1.77340355697 -0.682546336537 -0.571948289461 -0.816413445681 -0.937025127814 -1.73735045629 -0.643350212951 -1.62013684148 0.326687059179 -2.3329929599 -1.48518550658
-0.584337945064 -0.571134214668 -0.575162688169 -0.611746169984 -0.592832480182 -2.34027083021 0.405766913957 -1.09689256881 -2.93913270268 -3.27562892945 -0.243997099376 -0.620196005446 -0.890286158475 2.65949190129 0.193715153039 -1.56790469446 -0.917067373095 -0.566738487113 -0.788794290883 -0.89834987923 -1.53515646819 -0.631595220712 -0.535331121703 1.23303355138 -2.07619829577 -1.3061066868
-0.561048494415 -0.552286991561 -0.554960136273 -0.579235569861 -0.566685150985 -2.70141672412 0.203892858106 -1.55378233288 -3.28681927004 -3.70096287567 -0.987832721236 -0.584842565407 -1.41668602755 2.97942641506 0.286128565853 -1.86632840581 -0.759298321317 -0.549370150763 -0.696718097153 -0.769415098018 -0.861086137105 -0.592406659348 -1.18115110866 0.975781477605 -2.203613075 -1.69260901571
