length LML
0.790569415042 -38.4733348566
1.78687903754 -39.7946632208
4.03878095212 -56.2387817115
9.12862663703 -101.207678585
20.6329150469 -112.752608786
46.63540314 -102.199934897
105.407346518 -67.4625377455
238.246223941 -59.8468976731
538.494375361 -55.4378632319
1217.12817731 -52.9635310724
