length LML
1.45773797371 -163.255291232
3.08697899819 -165.898414704
6.53714145279 -196.021000098
13.8433783964 -270.772206379
29.3154319531 -300.281547519
62.0798280583 -286.657179147
131.463355475 -263.916429345
278.393390788 -249.080728587
589.539798027 -238.629837244
1248.43902534 -232.494167321
