length LML
1.45773797371 -59.8058502087
3.08697899819 -60.7199034309
6.53714145279 -91.8603840387
13.8433783964 -143.128806675
29.3154319531 -148.606225428
62.0798280583 -134.000320582
131.463355475 -108.969109279
278.393390788 -94.3376385507
589.539798027 -90.1024569416
1248.43902534 -86.8841174044
