length LML
1.45773797371 -126.319397488
3.08697899819 -130.543456235
6.53714145279 -135.382934669
13.8433783964 -142.575997724
29.3154319531 -145.983744824
62.0798280583 -148.58561238
131.463355475 -148.065352841
278.393390788 -147.163299347
589.539798027 -145.518590828
1248.43902534 -142.994900665
